iter	MAE	RMSE
0	52193.57167	77421.26869
5	45033.91125	69461.0685
10	39933.53463	63852.24068
15	36333.92222	59802.26152
20	33718.00815	56946.50273
25	31834.56434	54763.25739
30	30286.36788	53087.42144
35	29191.84651	51789.52324
40	28238.41292	50740.15181
45	27506.60167	49861.96978
50	26943.59227	49062.94167
55	26637.09964	48349.47439
60	26356.53841	47753.04384
65	26011.81362	47229.07792
70	25613.97437	46768.01468
75	25414.12549	46277.41593
80	25171.93392	45861.56144
85	24954.35336	45485.29592
90	24701.48248	45056.72754
95	24529.89999	44789.51598
100	24376.20802	44534.5083
105	24216.17483	44209.77124
110	23995.14512	43980.29218
115	23901.01785	43718.02763
120	23774.91903	43441.80123
125	23667.29624	43154.63537
130	23565.73494	42953.62097
135	23506.028	42857.37227
140	23391.58515	42660.39441
145	23275.81243	42332.58974
150	23179.88118	42194.22884
155	23084.72035	42072.41684
160	22994.74865	41841.96455
165	22900.85606	41604.08626
170	22850.994	41354.47095
175	22750.31454	41190.88523
180	22684.39677	41013.72874
185	22584.62286	40804.91354
190	22505.84014	40553.55118
195	22457.3364	40214.25324
200	22414.94866	39989.44473
205	22379.94755	39793.37153
210	22335.99052	39609.32385
215	22314.11038	39435.37427
220	22290.46418	39315.06916
225	22246.30802	39133.2779
230	22228.95089	39015.55139
235	22200.42374	38837.06451
240	22190.26595	38725.48259
245	22134.21439	38603.20061
250	22107.46515	38443.15307
255	22083.7099	38363.20591
260	22056.89429	38281.22098
265	22042.98155	38199.54609
270	22026.09616	38116.05366
275	21993.24513	38053.04568
280	21990.54982	38022.12565
285	21966.09764	37880.06796
290	21940.35588	37816.46756
295	21923.74072	37753.09539
300	21879.18157	37637.98227
305	21864.76628	37550.15089
310	21830.20372	37430.98973
315	21811.31284	37385.39398
320	21791.70368	37233.00557
325	21778.24135	37154.68395
330	21768.04089	37094.90761
335	21746.67042	37037.32301
340	21734.28906	36998.33692
345	21699.99437	36933.46845
350	21669.19387	36872.34548
355	21665.2232	36829.93901
360	21635.55819	36768.77069
365	21623.65805	36721.83024
370	21605.58738	36668.1764
375	21571.04615	36611.97653
380	21565.5773	36594.53448
385	21538.87547	36478.83173
390	21524.86792	36430.60725
395	21495.83347	36365.97352
400	21466.57856	36280.11781
405	21445.89555	36217.61342
410	21443.94696	36158.00656
415	21443.14571	36128.53068
420	21427.50959	36100.36699
425	21418.21468	36039.47777
430	21417.13608	36012.39304
435	21399.89747	35955.25458
440	21391.69776	35912.96563
445	21371.47226	35816.81913
450	21361.69138	35776.76469
455	21345.04778	35712.51042
460	21309.24306	35607.44458
465	21299.0829	35539.57525
470	21279.87673	35475.31835
475	21254.39336	35443.73411
480	21238.09586	35382.5766
485	21229.41729	35323.7564
490	21186.07423	35245.79056
495	21178.89147	35209.97007
499	21170.3101	35189.04856
