iter	Passed	Remaining
0	31	15502
1	52	13024
2	74	12305
3	94	11775
4	115	11402
5	136	11239
6	157	11058
7	178	10972
8	203	11078
9	238	11686
10	272	12097
11	294	11956
12	316	11860
13	338	11738
14	359	11639
15	384	11645
16	411	11694
17	448	12009
18	476	12071
19	503	12091
20	526	12012
21	547	11900
22	571	11847
23	591	11724
24	612	11639
25	634	11568
26	655	11486
27	676	11404
28	697	11330
29	720	11280
30	742	11231
31	764	11179
32	790	11183
33	817	11210
34	838	11138
35	859	11080
36	880	11011
37	907	11033
38	931	11005
39	961	11055
40	983	11010
41	1003	10948
42	1023	10882
43	1045	10838
44	1067	10796
45	1091	10771
46	1113	10727
47	1139	10728
48	1159	10671
49	1180	10622
50	1202	10590
51	1221	10526
52	1242	10477
53	1260	10409
54	1282	10374
55	1305	10351
56	1326	10308
57	1346	10265
58	1367	10222
59	1389	10186
60	1410	10147
61	1439	10169
62	1461	10136
63	1482	10100
64	1505	10077
65	1526	10035
66	1548	10004
67	1569	9969
68	1590	9932
69	1611	9899
70	1635	9881
71	1655	9841
72	1676	9807
73	1698	9776
74	1718	9738
75	1740	9707
76	1761	9677
77	1784	9654
78	1805	9622
79	1825	9584
80	1845	9544
81	1868	9522
82	1888	9488
83	1909	9455
84	1931	9430
85	1952	9400
86	1976	9383
87	2006	9394
88	2027	9364
89	2050	9339
90	2071	9308
91	2091	9275
92	2113	9248
93	2134	9219
94	2151	9173
95	2172	9142
96	2193	9112
97	2215	9088
98	2235	9056
99	2256	9026
100	2277	8996
101	2299	8973
102	2320	8944
103	2341	8916
104	2363	8892
105	2384	8864
106	2405	8835
107	2426	8807
108	2448	8783
109	2469	8755
110	2490	8728
111	2513	8707
112	2534	8679
113	2554	8650
114	2574	8618
115	2596	8594
116	2623	8588
117	2647	8571
118	2667	8541
119	2688	8515
120	2711	8494
121	2731	8464
122	2764	8471
123	2784	8444
124	2805	8416
125	2828	8395
126	2849	8369
127	2869	8340
128	2890	8313
129	2913	8292
130	2934	8266
131	2954	8237
132	2975	8210
133	2997	8187
134	3018	8159
135	3035	8125
136	3056	8099
137	3078	8076
138	3099	8048
139	3120	8022
140	3139	7993
141	3161	7970
142	3188	7960
143	3212	7943
144	3233	7916
145	3254	7891
146	3283	7883
147	3311	7877
148	3332	7851
149	3366	7856
150	3387	7830
151	3410	7808
152	3430	7780
153	3447	7744
154	3468	7719
155	3489	7693
156	3512	7673
157	3532	7647
158	3553	7620
159	3573	7594
160	3596	7572
161	3614	7541
162	3636	7517
163	3656	7490
164	3677	7467
165	3698	7442
166	3716	7410
167	3737	7386
168	3759	7363
169	3779	7336
170	3800	7312
171	3821	7286
172	3843	7265
173	3863	7239
174	3882	7209
175	3903	7185
176	3925	7162
177	3945	7138
178	3966	7113
179	3987	7089
180	4026	7096
181	4046	7070
182	4067	7045
183	4087	7019
184	4109	6997
185	4130	6972
186	4149	6945
187	4169	6919
188	4190	6896
189	4211	6871
190	4232	6847
191	4252	6821
192	4273	6797
193	4294	6773
194	4311	6744
195	4332	6719
196	4366	6716
197	4386	6690
198	4408	6667
199	4428	6642
200	4449	6618
201	4470	6594
202	4495	6577
203	4515	6552
204	4536	6528
205	4559	6507
206	4577	6479
207	4597	6453
208	4614	6425
209	4634	6399
210	4657	6378
211	4677	6354
212	4695	6326
213	4716	6302
214	4738	6281
215	4759	6258
216	4780	6234
217	4801	6210
218	4823	6189
219	4843	6164
220	4867	6144
221	4890	6124
222	4910	6099
223	4931	6076
224	4952	6053
225	4975	6032
226	4998	6011
227	5021	5990
228	5041	5965
229	5062	5942
230	5083	5920
231	5104	5896
232	5124	5872
233	5144	5848
234	5166	5826
235	5189	5805
236	5218	5790
237	5240	5768
238	5260	5745
239	5281	5721
240	5305	5701
241	5325	5677
242	5345	5653
243	5365	5629
244	5387	5607
245	5408	5584
246	5429	5561
247	5450	5538
248	5471	5515
249	5493	5493
250	5515	5471
251	5536	5448
252	5559	5427
253	5580	5405
254	5603	5383
255	5624	5361
256	5659	5350
257	5683	5330
258	5705	5308
259	5725	5285
260	5746	5262
261	5766	5238
262	5788	5216
263	5808	5192
264	5829	5169
265	5850	5147
266	5872	5124
267	5892	5101
268	5911	5076
269	5933	5054
270	5955	5032
271	5976	5009
272	6003	4991
273	6023	4968
274	6044	4945
275	6066	4923
276	6090	4903
277	6111	4880
278	6131	4856
279	6153	4834
280	6173	4811
281	6193	4787
282	6214	4765
283	6237	4743
284	6257	4720
285	6279	4698
286	6301	4676
287	6321	4653
288	6359	4643
289	6380	4620
290	6403	4599
291	6427	4578
292	6450	4557
293	6472	4534
294	6493	4512
295	6514	4489
296	6536	4467
297	6557	4444
298	6578	4422
299	6601	4400
300	6621	4377
301	6642	4354
302	6663	4332
303	6685	4310
304	6705	4287
305	6726	4264
306	6746	4241
307	6769	4219
308	6800	4203
309	6821	4180
310	6842	4158
311	6863	4135
312	6885	4113
313	6906	4091
314	6927	4068
315	6949	4046
316	6970	4024
317	6991	4001
318	7012	3978
319	7034	3957
320	7055	3934
321	7075	3911
322	7097	3889
323	7119	3867
324	7140	3844
325	7160	3821
326	7182	3799
327	7203	3777
328	7224	3754
329	7244	3731
330	7266	3710
331	7287	3687
332	7307	3664
333	7328	3642
334	7350	3620
335	7370	3597
336	7391	3575
337	7411	3552
338	7434	3530
339	7454	3508
340	7475	3485
341	7497	3463
342	7524	3444
343	7548	3422
344	7567	3399
345	7588	3377
346	7608	3354
347	7630	3332
348	7653	3311
349	7673	3288
350	7695	3266
351	7718	3245
352	7738	3222
353	7759	3200
354	7781	3178
355	7802	3156
356	7822	3133
357	7862	3118
358	7882	3095
359	7911	3076
360	7949	3060
361	7969	3037
362	7989	3015
363	8009	2992
364	8030	2970
365	8051	2947
366	8071	2925
367	8092	2902
368	8114	2880
369	8134	2858
370	8154	2835
371	8175	2813
372	8197	2791
373	8218	2768
374	8239	2746
375	8258	2723
376	8281	2702
377	8302	2679
378	8322	2657
379	8342	2634
380	8364	2612
381	8385	2590
382	8423	2573
383	8447	2551
384	8472	2530
385	8494	2508
386	8515	2486
387	8537	2464
388	8557	2441
389	8580	2420
390	8600	2397
391	8620	2375
392	8641	2352
393	8663	2330
394	8685	2308
395	8705	2286
396	8727	2264
397	8748	2242
398	8768	2219
399	8789	2197
400	8812	2175
401	8833	2153
402	8853	2130
403	8874	2108
404	8900	2087
405	8927	2066
406	8950	2045
407	8970	2022
408	8990	2000
409	9011	1978
410	9031	1955
411	9052	1933
412	9073	1911
413	9095	1889
414	9116	1867
415	9137	1845
416	9157	1822
417	9179	1800
418	9200	1778
419	9220	1756
420	9242	1734
421	9262	1712
422	9283	1689
423	9303	1667
424	9335	1647
425	9363	1626
426	9383	1604
427	9404	1582
428	9427	1560
429	9447	1538
430	9469	1516
431	9490	1493
432	9512	1471
433	9532	1449
434	9552	1427
435	9572	1405
436	9594	1383
437	9615	1361
438	9635	1338
439	9660	1317
440	9680	1295
441	9700	1272
442	9720	1250
443	9741	1228
444	9762	1206
445	9783	1184
446	9803	1162
447	9825	1140
448	9848	1118
449	9868	1096
450	9891	1074
451	9912	1052
452	9933	1030
453	9963	1009
454	9984	987
455	10004	965
456	10029	943
457	10050	921
458	10071	899
459	10094	877
460	10115	855
461	10136	833
462	10158	811
463	10179	789
464	10199	767
465	10220	745
466	10242	723
467	10263	701
468	10284	679
469	10306	657
470	10327	635
471	10348	613
472	10368	591
473	10391	569
474	10411	547
475	10431	525
476	10452	503
477	10474	482
478	10494	460
479	10514	438
480	10535	416
481	10556	394
482	10577	372
483	10597	350
484	10618	328
485	10641	306
486	10662	284
487	10684	262
488	10708	240
489	10730	218
490	10755	197
491	10777	175
492	10798	153
493	10819	131
494	10842	109
495	10865	87
496	10892	65
497	10912	43
498	10933	21
499	10955	0
