證券代碼,公司名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
1216,統一,20220103,66.0882,66.5685,65.6079,65.7039,4163,286300,-0.2915,0.0733,5682015,388650,68.4,68.5,-0.292,0.694,0.09,1578,19.35,20.2492,3.44,3.4498,,0.8372,3.95,3.9474,-0.2,1.4577,68.4,75.2,61.6,,,,TSE
2317,鴻海,20220103,94.7937,95.2473,93.433,93.433,22163,2301355,-0.9615,0.1599,13862991,1427888,103.0,103.5,-0.9662,2.549,0.725,14002,10.19,11.5826,1.08,1.074,,0.2336,3.86,3.8835,-1.0,1.9231,103.0,113.0,92.7,,,,TSE
2330,台積電,20220103,599.559,612.151,598.591,611.182,73703,46249716,2.6016,0.2842,25930380,16362070,630.0,631.0,2.5684,29.207,14.566,88508,29.95,28.5247,8.27,7.8815,,10.8304,1.51,1.664,16.0,2.2764,631.0,694.0,568.0,,,,TSE
2317,鴻海,20220104,94.3402,94.3402,93.433,93.8866,18460,1912476,0.4854,0.1332,13862991,1434820,103.5,104.0,0.4843,2.526,0.599,11989,10.19,11.6388,1.08,1.0792,,0.2347,3.86,3.8647,0.5,0.9709,103.5,113.5,93.2,,,,TSE
2330,台積電,20220104,624.742,635.397,623.774,635.397,90945,59188199,3.962,0.3507,25930380,17010330,656.0,657.0,3.8855,29.946,18.54,106409,29.68,29.6548,8.19,8.1937,,11.2595,1.52,1.6006,25.0,1.9017,656.0,721.0,591.0,,,,TSE
1216,統一,20220104,65.6079,66.0882,65.6079,66.0882,2731,187327,0.5848,0.0481,5682015,390923,68.6,68.8,0.5831,0.688,0.059,2025,19.49,20.3676,3.47,3.47,,0.8421,3.92,3.9244,0.4,0.731,68.8,75.6,62.0,,,,TSE
1216,統一,20220105,65.5118,66.1842,65.3197,66.1842,3788,259722,0.1453,0.0667,5682015,391491,68.8,68.9,0.1452,0.69,0.08,1936,19.52,20.3972,3.47,3.475,,0.8433,3.92,3.9187,0.1,1.3081,68.9,75.7,62.1,,,,TSE
2317,鴻海,20220105,94.3402,100.69,93.8866,98.8757,142927,15545527,5.314,1.031,13862991,1511066,108.5,109.0,5.1776,2.664,4.757,65457,10.73,12.2573,1.14,1.1366,,0.2472,3.67,3.6697,5.5,7.2464,109.0,119.5,98.1,,,,TSE
2330,台積電,20220105,647.989,647.989,625.711,629.586,72505,47582832,-0.9146,0.2796,25930380,16854747,649.0,650.0,-0.9188,29.714,14.56,64712,29.41,29.3836,8.12,8.1188,,11.1565,1.54,1.6154,-6.0,3.5061,650.0,715.0,585.0,,,,TSE
1216,統一,20220106,65.8961,65.9921,65.4158,65.7039,4000,273413,-0.7257,0.0704,5682015,388650,68.3,68.4,-0.7283,0.69,0.097,2679,19.38,20.2492,3.45,3.4498,,0.8372,3.95,3.9474,-0.5,0.8708,68.4,75.2,61.6,,,,TSE
2317,鴻海,20220106,97.9686,98.4222,96.1544,97.0615,49399,5297978,-1.8349,0.3563,13862991,1483340,106.5,107.0,-1.8519,2.634,1.87,26343,10.53,12.0324,1.12,1.1157,,0.2426,3.74,3.7383,-2.0,2.2936,107.0,117.5,96.3,,,,TSE
2330,台積電,20220106,617.962,625.711,616.025,623.774,57490,36817638,-0.9231,0.2217,25930380,16699165,643.0,644.0,-0.9274,29.651,12.994,53430,29.14,29.1124,8.04,8.0438,,11.0535,1.55,1.6304,-6.0,1.5385,644.0,708.0,580.0,,,,TSE
2317,鴻海,20220107,97.9686,98.4222,96.1544,96.6079,39268,4192632,-0.4673,0.2833,13862991,1476409,106.0,106.5,-0.4684,2.65,1.334,15864,10.48,11.9761,1.11,1.1105,,0.2415,3.76,3.7559,-0.5,2.3364,106.5,117.0,95.9,,,,TSE
2330,台積電,20220107,622.805,625.711,612.151,614.088,39847,25358237,-1.5528,0.1537,25930380,16439861,633.0,634.0,-1.565,29.509,8.07,44497,28.69,28.6603,7.92,7.9189,,10.8819,1.58,1.6562,-10.0,2.1739,634.0,697.0,571.0,,,,TSE
1216,統一,20220107,65.6079,65.7039,65.3197,65.3197,3998,272491,-0.5848,0.0704,5682015,386377,68.0,68.2,-0.5865,0.694,0.087,1875,19.26,20.1308,3.43,3.4296,,0.8323,3.97,3.9706,-0.4,0.5848,68.0,74.8,61.2,,,,TSE
1216,統一,20220110,65.3197,65.9921,65.3197,65.9921,3254,222829,1.0294,0.0573,5682015,390354,68.6,68.7,1.0241,0.698,0.086,1436,19.46,20.338,3.46,3.4649,,0.8409,3.93,3.9301,0.7,1.0294,68.7,75.5,61.9,,,,TSE
